 cookie=0x0, duration=9.119s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=9e:3c:87:e8:d5:7a,nw_src=178.205.66.11,nw_dst=10.0.0.59,nw_tos=0,tp_src=2,tp_dst=80 actions=output:8
 cookie=0x0, duration=9.079s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=36:fb:f0:17:f9:c9,nw_src=113.234.176.137,nw_dst=10.0.0.16,nw_tos=0,tp_src=2,tp_dst=80 actions=output:2
 cookie=0x0, duration=8.907s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=4e:a1:e6:a2:b7:05,nw_src=89.179.129.235,nw_dst=10.0.0.42,nw_tos=0,tp_src=2,tp_dst=80 actions=output:6
 cookie=0x0, duration=8.807s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=b2:98:08:6a:cb:b7,nw_src=232.216.31.207,nw_dst=10.0.0.55,nw_tos=0,tp_src=2,tp_dst=80 actions=output:7
 cookie=0x0, duration=8.763s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=c6:1b:7b:68:8a:a4,nw_src=243.212.242.104,nw_dst=10.0.0.32,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=8.707s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=96:03:61:79:50:6a,nw_src=63.89.38.191,nw_dst=10.0.0.29,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=8.662s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=9a:bd:ee:fd:be:14,nw_src=23.156.118.148,nw_dst=10.0.0.17,nw_tos=0,tp_src=2,tp_dst=80 actions=output:3
 cookie=0x0, duration=8.563s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=76:2d:87:43:49:ba,nw_src=212.105.68.120,nw_dst=10.0.0.39,nw_tos=0,tp_src=2,tp_dst=80 actions=output:5
 cookie=0x0, duration=8.455s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=26:cd:79:53:21:c6,nw_src=56.74.87.234,nw_dst=10.0.0.50,nw_tos=0,tp_src=2,tp_dst=80 actions=output:7
 cookie=0x0, duration=8.407s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=ea:5e:5c:f4:8f:cf,nw_src=86.158.61.252,nw_dst=10.0.0.10,nw_tos=0,tp_src=2,tp_dst=80 actions=output:2
